"Activity","StartWeek","StartDay","StartDate","StartTime","EndDay","EndDate","EndTime","Duration","StaffMember","Room","StudentSets","Department","Size"
"rek","39","Mon","2018-09-24","08:30","Mon","2018-09-24","09:30","1:00","HAL","B116 (0)","1GA1","","0"
"2d/3d","39","Mon","2018-09-24","08:30","Mon","2018-09-24","10:00","1:30","LEN, MJA","A130 (0)","3GA1","","0"
"2d/3d","39","Mon","2018-09-24","08:30","Mon","2018-09-24","10:00","1:30","LEN, MJA","A223 (0)","3GA2","","0"
"gametech","39","Mon","2018-09-24","08:30","Mon","2018-09-24","10:00","1:30","BHN","B115 (0)","2GA1","","0"
"program","39","Mon","2018-09-24","08:30","Mon","2018-09-24","10:00","1:30","RBR","A127 (0)","3GD1","","0"
"rapid","39","Mon","2018-09-24","08:30","Mon","2018-09-24","10:00","1:30","JWO","A224 (0)","1GD1","","0"
"rapid","39","Mon","2018-09-24","08:30","Mon","2018-09-24","10:00","1:30","LKR","A225 (0)","1GD2","","0"
"vormg","39","Mon","2018-09-24","08:30","Mon","2018-09-24","10:00","1:30","SRI","A128 (0)","1GA2","","0"
"eng","39","Mon","2018-09-24","09:00","Mon","2018-09-24","10:00","1:00","YWI","B114 (0)","2GD1","","0"
"eng","39","Mon","2018-09-24","09:00","Mon","2018-09-24","10:00","1:00","JVO","B214 (0)","2GV7","","0"
"3d","39","Mon","2018-09-24","09:30","Mon","2018-09-24","10:00","0:30","SLO","A129 (0)","1GA1","","0"
"eng","39","Mon","2018-09-24","09:30","Mon","2018-09-24","10:00","0:30","MKO","B218 (0)","2GV3","","0"
"rek","39","Mon","2018-09-24","09:30","Mon","2018-09-24","10:00","0:30","JBO","A115 (0)","1DP1","","0"
"2d/3d","39","Mon","2018-09-24","10:15","Mon","2018-09-24","10:45","0:30","LEN, MJA","A130 (0)","3GA1","","0"
"2d/3d","39","Mon","2018-09-24","10:15","Mon","2018-09-24","10:45","0:30","LEN, MJA","A223 (0)","3GA2","","0"
"eng","39","Mon","2018-09-24","10:15","Mon","2018-09-24","10:45","0:30","YWI","B114 (0)","2GD1","","0"
"eng","39","Mon","2018-09-24","10:15","Mon","2018-09-24","10:45","0:30","JVO","B214 (0)","2GV7","","0"
"gametech","39","Mon","2018-09-24","10:15","Mon","2018-09-24","10:45","0:30","BHN","B115 (0)","2GA1","","0"
"rapid","39","Mon","2018-09-24","10:15","Mon","2018-09-24","10:45","0:30","JWO","A224 (0)","1GD1","","0"
"rapid","39","Mon","2018-09-24","10:15","Mon","2018-09-24","10:45","0:30","LKR","A225 (0)","1GD2","","0"
"eng","39","Mon","2018-09-24","10:15","Mon","2018-09-24","11:15","1:00","MKO","B218 (0)","2GV3","","0"
"rek","39","Mon","2018-09-24","10:15","Mon","2018-09-24","11:45","1:30","JBO","A115 (0)","1DP1","","0"
"vormg","39","Mon","2018-09-24","10:15","Mon","2018-09-24","11:45","1:30","SRI","A128 (0)","1GA2","","0"
"3d","39","Mon","2018-09-24","10:15","Mon","2018-09-24","12:45","2:30","SLO","A129 (0)","1GA1","","0"
"program","39","Mon","2018-09-24","10:15","Mon","2018-09-24","12:45","2:30","RBR","A127 (0)","3GD1","","0"
"rek","39","Mon","2018-09-24","10:45","Mon","2018-09-24","11:45","1:00","HAL","B116 (0)","2GA1","","0"
"burger","39","Mon","2018-09-24","10:45","Mon","2018-09-24","12:15","1:30","DWO","B114 (0)","1GD1","","0"
"eng","39","Mon","2018-09-24","10:45","Mon","2018-09-24","12:15","1:30","JVO","B214 (0)","1GV5","","0"
"ond","39","Mon","2018-09-24","10:45","Mon","2018-09-24","12:15","1:30","MKU","B115 (0)","3GA2","","0"
"2d","39","Mon","2018-09-24","10:45","Mon","2018-09-24","12:45","2:00","LEN","A223 (0)","1GD2","","0"
"3d","39","Mon","2018-09-24","10:45","Mon","2018-09-24","12:45","2:00","MJA","A224 (0)","2GD2","","0"
"gameplay","39","Mon","2018-09-24","10:45","Mon","2018-09-24","12:45","2:00","LKR","A225 (0)","2GD1","","0"
"k0901","39","Mon","2018-09-24","10:45","Mon","2018-09-24","12:45","2:00","ATE","A130 (0)","3GA1","","0"
"typo","39","Mon","2018-09-24","11:15","Mon","2018-09-24","12:15","1:00","ESC","B218 (0)","1GV2","","0"
"k0901","39","Mon","2018-09-24","11:45","Mon","2018-09-24","12:45","1:00","SRI","A128 (0)","2GA2","","0"
"rek","39","Mon","2018-09-24","11:45","Mon","2018-09-24","12:45","1:00","HAL","B116 (0)","1GA2","","0"
"slb","39","Mon","2018-09-24","12:15","Mon","2018-09-24","12:45","0:30","MVE","B115 (0)","3GA2","","0"
"3d","39","Mon","2018-09-24","12:15","Mon","2018-09-24","13:15","1:00","CPE","B114 (0)","2GA1","","0"
"rek","39","Mon","2018-09-24","12:15","Mon","2018-09-24","14:15","2:00","JBO","A115 (0)","1DP2","","0"
"typo","39","Mon","2018-09-24","12:45","Mon","2018-09-24","13:45","1:00","ESC","B218 (0)","1GV2","","0"
"eng","39","Mon","2018-09-24","12:45","Mon","2018-09-24","14:15","1:30","JVO","B214 (0)","1GV1","","0"
"ned","39","Mon","2018-09-24","12:45","Mon","2018-09-24","14:15","1:30","MVE","B116 (0)","1GD1","","0"
"k0901","39","Mon","2018-09-24","13:15","Mon","2018-09-24","14:15","1:00","SRI","A128 (0)","2GA2","","0"
"vb bpv","39","Mon","2018-09-24","13:15","Mon","2018-09-24","14:15","1:00","RBA","A223 (0)","3GD1","","0"
"vb bpv","39","Mon","2018-09-24","13:15","Mon","2018-09-24","14:15","1:00","MRE","A130 (0)","3GA1","","0"
"eng","39","Mon","2018-09-24","13:15","Mon","2018-09-24","14:45","1:30","YWI","B114 (0)","1GD2","","0"
"gametech","39","Mon","2018-09-24","13:15","Mon","2018-09-24","14:45","1:30","LCA","A129 (0)","3GA2","","0"
"gametech","39","Mon","2018-09-24","13:15","Mon","2018-09-24","14:45","1:30","BHN","B115 (0)","1GA2","","0"
"rapid","39","Mon","2018-09-24","13:15","Mon","2018-09-24","14:45","1:30","JWO","A224 (0)","2GD1","","0"
"rapid","39","Mon","2018-09-24","13:15","Mon","2018-09-24","14:45","1:30","LKR","A225 (0)","2GD2","","0"
"vormg","39","Mon","2018-09-24","13:15","Mon","2018-09-24","14:45","1:30","LEN","A127 (0)","2GA1","","0"
"kunst","39","Mon","2018-09-24","14:15","Mon","2018-09-24","14:45","0:30","MKO","B214 (0)","2GV5","","0"
"rek","39","Mon","2018-09-24","14:15","Mon","2018-09-24","14:45","0:30","HAL","B116 (0)","2GA2","","0"
"rek","39","Mon","2018-09-24","14:15","Mon","2018-09-24","14:45","0:30","DOO","A115 (0)","2K1","","0"
"slb","39","Mon","2018-09-24","14:15","Mon","2018-09-24","14:45","0:30","RBR","A223 (0)","3GD1","","0"
"slb","39","Mon","2018-09-24","14:15","Mon","2018-09-24","14:45","0:30","SRI","A128 (0)","3GA1","","0"
"typo","39","Mon","2018-09-24","14:15","Mon","2018-09-24","14:45","0:30","ESC","B218 (0)","1GV1","","0"
"gametech","39","Mon","2018-09-24","15:00","Mon","2018-09-24","15:30","0:30","LCA","A129 (0)","3GA2","","0"
"gametech","39","Mon","2018-09-24","15:00","Mon","2018-09-24","15:30","0:30","BHN","B115 (0)","1GA2","","0"
"rapid","39","Mon","2018-09-24","15:00","Mon","2018-09-24","15:30","0:30","JWO","A224 (0)","2GD1","","0"
"rapid","39","Mon","2018-09-24","15:00","Mon","2018-09-24","15:30","0:30","LKR","A225 (0)","2GD2","","0"
"rek","39","Mon","2018-09-24","15:00","Mon","2018-09-24","15:30","0:30","HAL","B116 (0)","2GA2","","0"
"rek","39","Mon","2018-09-24","15:00","Mon","2018-09-24","15:30","0:30","DOO","A115 (0)","2K1","","0"
"slb","39","Mon","2018-09-24","15:00","Mon","2018-09-24","15:30","0:30","RBR","A223 (0)","3GD1","","0"
"slb","39","Mon","2018-09-24","15:00","Mon","2018-09-24","15:30","0:30","SRI","A128 (0)","3GA1","","0"
"vormg","39","Mon","2018-09-24","15:00","Mon","2018-09-24","15:30","0:30","LEN","A127 (0)","2GA1","","0"
"kunst","39","Mon","2018-09-24","15:00","Mon","2018-09-24","16:00","1:00","MKO","B214 (0)","2GV5","","0"
"eng","39","Mon","2018-09-24","15:00","Mon","2018-09-24","16:30","1:30","JVO","B114 (0)","1GV4","","0"
"typo","39","Mon","2018-09-24","15:00","Mon","2018-09-24","16:30","1:30","ESC","B218 (0)","1GV1","","0"
"markt th1","39","Tue","2018-09-25","08:30","Tue","2018-09-25","09:30","1:00","RVE","B114 (0)","1COM1","","0"
"eng","39","Tue","2018-09-25","08:30","Tue","2018-09-25","10:00","1:30","HBE","A223 (0)","2GD2","","0"
"eng","39","Tue","2018-09-25","08:30","Tue","2018-09-25","10:00","1:30","JVO","B214 (0)","1GV2","","0"
"gamedes","39","Tue","2018-09-25","08:30","Tue","2018-09-25","10:00","1:30","JWO","A130 (0)","1GA1","","0"
"ned","39","Tue","2018-09-25","08:30","Tue","2018-09-25","10:00","1:30","MVE","B115 (0)","2GA1","","0"
"ned","39","Tue","2018-09-25","08:30","Tue","2018-09-25","10:00","1:30","JMA","A115 (0)","2DP1","","0"
"project","39","Tue","2018-09-25","08:30","Tue","2018-09-25","10:00","1:30","RBR","A127 (0)","3GD1","","0"
"project","39","Tue","2018-09-25","08:30","Tue","2018-09-25","10:00","1:30","CSP","A128 (0)","3GA1","","0"
"project","39","Tue","2018-09-25","08:30","Tue","2018-09-25","10:00","1:30","ATE","A129 (0)","3GA2","","0"
"project","39","Tue","2018-09-25","08:30","Tue","2018-09-25","10:00","1:30","CPE","A224 (0)","1GD1","","0"
"project","39","Tue","2018-09-25","08:30","Tue","2018-09-25","10:00","1:30","RBA","A225 (0)","1GD2","","0"
"vormg","39","Tue","2018-09-25","08:30","Tue","2018-09-25","10:00","1:30","MSP","B218 (0)","3GV2","","0"
"ond","39","Tue","2018-09-25","09:00","Tue","2018-09-25","10:00","1:00","MKU","B116 (0)","2GA2","","0"
"ned","39","Tue","2018-09-25","09:30","Tue","2018-09-25","10:00","0:30","LMU","B114 (0)","2MM2","","0"
"gamedes","39","Tue","2018-09-25","10:15","Tue","2018-09-25","10:45","0:30","JWO","A130 (0)","1GA1","","0"
"ned","39","Tue","2018-09-25","10:15","Tue","2018-09-25","10:45","0:30","MVE","B115 (0)","2GA1","","0"
"ned","39","Tue","2018-09-25","10:15","Tue","2018-09-25","10:45","0:30","LMU","B114 (0)","2MM2","","0"
"ond","39","Tue","2018-09-25","10:15","Tue","2018-09-25","10:45","0:30","MKU","B116 (0)","2GA2","","0"
"project","39","Tue","2018-09-25","10:15","Tue","2018-09-25","10:45","0:30","CPE","A224 (0)","1GD1","","0"
"project","39","Tue","2018-09-25","10:15","Tue","2018-09-25","10:45","0:30","RBA","A225 (0)","1GD2","","0"
"beg kd","39","Tue","2018-09-25","10:15","Tue","2018-09-25","11:45","1:30","MBU","A115 (0)","2DP1","","0"
"project","39","Tue","2018-09-25","10:15","Tue","2018-09-25","11:45","1:30","RBR","A127 (0)","3GD1","","0"
"project","39","Tue","2018-09-25","10:15","Tue","2018-09-25","11:45","1:30","CSP","A128 (0)","3GA1","","0"
"project","39","Tue","2018-09-25","10:15","Tue","2018-09-25","11:45","1:30","ATE","A129 (0)","3GA2","","0"
"gameplay","39","Tue","2018-09-25","10:15","Tue","2018-09-25","12:15","2:00","LKR","A223 (0)","2GD2","","0"
"typo","39","Tue","2018-09-25","10:15","Tue","2018-09-25","12:15","2:00","ESC","B218 (0)","1GV5","","0"
"eng","39","Tue","2018-09-25","10:45","Tue","2018-09-25","12:15","1:30","JVO","B214 (0)","1GV3","","0"
"ond","39","Tue","2018-09-25","10:45","Tue","2018-09-25","12:15","1:30","MKU","B116 (0)","2GA1","","0"
"gamedes","39","Tue","2018-09-25","10:45","Tue","2018-09-25","12:45","2:00","JWO","A130 (0)","1GA2","","0"
"k0072","39","Tue","2018-09-25","10:45","Tue","2018-09-25","12:45","2:00","YWI","B114 (0)","1GA1","","0"
"k0072","39","Tue","2018-09-25","10:45","Tue","2018-09-25","12:45","2:00","CPE","A224 (0)","1GD1","","0"
"k0072","39","Tue","2018-09-25","10:45","Tue","2018-09-25","12:45","2:00","RBA","A225 (0)","1GD2","","0"
"ned","39","Tue","2018-09-25","10:45","Tue","2018-09-25","12:45","2:00","MVE","B115 (0)","2GA2","","0"
"3d","39","Tue","2018-09-25","11:45","Tue","2018-09-25","12:45","1:00","MJA","A128 (0)","2GD1","","0"
"burger","39","Tue","2018-09-25","11:45","Tue","2018-09-25","12:45","1:00","TVE","A127 (0)","1AAV1","","0"
"vb bpv","39","Tue","2018-09-25","11:45","Tue","2018-09-25","12:45","1:00","MRE","A129 (0)","3GA2","","0"
"eng","39","Tue","2018-09-25","12:15","Tue","2018-09-25","13:45","1:30","VV-GAGD","B218 (0)","3GA1","","0"
"rek","39","Tue","2018-09-25","12:15","Tue","2018-09-25","13:45","1:30","JBO","B116 (0)","3GD1","","0"
"vormg","39","Tue","2018-09-25","12:45","Tue","2018-09-25","14:15","1:30","HGR","B214 (0)","2GV1","","0"
"ned","39","Tue","2018-09-25","12:45","Tue","2018-09-25","14:45","2:00","VV-GAGD","B114 (0)","2GD2","","0"
"3d","39","Tue","2018-09-25","13:15","Tue","2018-09-25","14:15","1:00","VV-GAGD","A128 (0)","2GD1","","0"
"burger","39","Tue","2018-09-25","13:15","Tue","2018-09-25","14:15","1:00","TVE","A127 (0)","1AAV1","","0"
"2d","39","Tue","2018-09-25","13:15","Tue","2018-09-25","14:45","1:30","MRE","A129 (0)","2GA1","","0"
"3d","39","Tue","2018-09-25","13:15","Tue","2018-09-25","14:45","1:30","CPE","A224 (0)","2GA2","","0"
"burger","39","Tue","2018-09-25","13:15","Tue","2018-09-25","14:45","1:30","DWO","B115 (0)","1GA2","","0"
"gameplay","39","Tue","2018-09-25","13:15","Tue","2018-09-25","14:45","1:30","LKR","A223 (0)","1GD2","","0"
"gametech","39","Tue","2018-09-25","13:15","Tue","2018-09-25","14:45","1:30","BHN","A130 (0)","1GA1","","0"
"ned","39","Tue","2018-09-25","13:15","Tue","2018-09-25","14:45","1:30","MVE","A115 (0)","3GA2","","0"
"program","39","Tue","2018-09-25","13:15","Tue","2018-09-25","14:45","1:30","RBR","A225 (0)","1GD1","","0"
"rek","39","Tue","2018-09-25","13:45","Tue","2018-09-25","14:45","1:00","RDK","B218 (0)","1GV5","","0"
"ond","39","Tue","2018-09-25","14:15","Tue","2018-09-25","14:45","0:30","MKU","A128 (0)","3GA1","","0"
"rek","39","Tue","2018-09-25","14:15","Tue","2018-09-25","14:45","0:30","JBO","B116 (0)","2GD1","","0"
"gameplay","39","Tue","2018-09-25","15:00","Tue","2018-09-25","15:30","0:30","LKR","A223 (0)","1GD2","","0"
"gametech","39","Tue","2018-09-25","15:00","Tue","2018-09-25","15:30","0:30","BHN","A130 (0)","1GA1","","0"
"ond","39","Tue","2018-09-25","15:00","Tue","2018-09-25","16:00","1:00","MKU","A128 (0)","3GA1","","0"
"2d","39","Tue","2018-09-25","15:00","Tue","2018-09-25","16:30","1:30","MRE","A129 (0)","2GA1","","0"
"3d","39","Tue","2018-09-25","15:00","Tue","2018-09-25","16:30","1:30","CPE","A224 (0)","2GA2","","0"
"ned","39","Tue","2018-09-25","15:00","Tue","2018-09-25","16:30","1:30","MVE","B115 (0)","1GA2","","0"
"program","39","Tue","2018-09-25","15:00","Tue","2018-09-25","16:30","1:30","RBR","A225 (0)","1GD1","","0"
"rek","39","Tue","2018-09-25","15:00","Tue","2018-09-25","16:30","1:30","JBO","B116 (0)","2GD1","","0"
"rek","39","Wed","2018-09-26","08:30","Wed","2018-09-26","09:30","1:00","RDK","B218 (0)","2GV2","","0"
"2d","39","Wed","2018-09-26","08:30","Wed","2018-09-26","10:00","1:30","LEN","B115 (0)","1GA1","","0"
"eng","39","Wed","2018-09-26","08:30","Wed","2018-09-26","10:00","1:30","HBE","B116 (0)","3GA2","","0"
"gamedes","39","Wed","2018-09-26","08:30","Wed","2018-09-26","10:00","1:30","ATE","A224 (0)","3GD1","","0"
"project","39","Wed","2018-09-26","08:30","Wed","2018-09-26","10:00","1:30","CSP","A128 (0)","2GA1","","0"
"project","39","Wed","2018-09-26","08:30","Wed","2018-09-26","10:00","1:30","MJA","A129 (0)","2GA2","","0"
"project","39","Wed","2018-09-26","08:30","Wed","2018-09-26","10:00","1:30","RBA, XGVAC2","A127 (0)","2GD1","","0"
"project","39","Wed","2018-09-26","08:30","Wed","2018-09-26","10:00","1:30","BHN, XGVAC2","A130 (0)","2GD2","","0"
"eng","39","Wed","2018-09-26","09:00","Wed","2018-09-26","10:00","1:00","YWI","B114 (0)","1GA2","","0"
"gamedes","39","Wed","2018-09-26","09:00","Wed","2018-09-26","10:00","1:00","JWO","A223 (0)","1GD1","","0"
"eng","39","Wed","2018-09-26","10:15","Wed","2018-09-26","10:45","0:30","YWI","B114 (0)","1GA2","","0"
"gamedes","39","Wed","2018-09-26","10:15","Wed","2018-09-26","10:45","0:30","ATE","A224 (0)","3GD1","","0"
"gamedes","39","Wed","2018-09-26","10:15","Wed","2018-09-26","11:15","1:00","JWO","A223 (0)","1GD1","","0"
"2d","39","Wed","2018-09-26","10:15","Wed","2018-09-26","11:45","1:30","LEN","B115 (0)","1GA1","","0"
"ond","39","Wed","2018-09-26","10:15","Wed","2018-09-26","11:45","1:30","JVO","B214 (0)","2GV7","","0"
"rek","39","Wed","2018-09-26","10:15","Wed","2018-09-26","11:45","1:30","HAL","B116 (0)","3GA2","","0"
